id,task,user_id,user_name,work_complete,action,ctime
165,Putaway,2,testgarena,MY12345,Record,"2019-05-24 09:54:08"
166,Putaway,2,testgarena,MY12345,End,"2019-05-24 09:54:09"
167,Putaway,1,jiana.xu,0,Record,"2019-05-24 11:42:26"
168,Putaway,1,jiana.xu,0,End,"2019-05-24 11:42:27"
169,Testing,1,jiana.xu,,Start,"2019-05-24 11:42:35"
170,Testing,1,jiana.xu,12,Record,"2019-05-24 11:42:41"
171,Testing,1,jiana.xu,12,End,"2019-05-24 11:42:43"
172,Putaway,2,testgarena,,Start,"2019-05-24 11:44:48"
173,Putaway,2,testgarena,B0031,Record,"2019-05-24 11:45:45"
174,Putaway,2,testgarena,B0032,Record,"2019-05-24 11:46:12"
175,Putaway,2,testgarena,B0032,End,"2019-05-24 11:46:17"
176,Putaway,3,testgroup1,14,Record,"2019-05-24 11:47:20"
177,Putaway,3,testgroup1,14,End,"2019-05-24 11:47:23"
178,,2,testgarena,,Start,"2019-05-24 18:18:01"
179,,2,testgarena,,End,"2019-05-24 18:18:17"
180,Packing,1,jiana.xu,,Start,"2019-05-24 18:45:36"
181,Packing,1,jiana.xu,jiana.xu,Record,"2019-05-24 18:47:59"
182,Packing,1,jiana.xu,jiana.xu,End,"2019-05-24 18:47:59"
183,Putaway,2,testgarena,,Start,"2019-05-24 18:57:06"
184,Putaway,2,testgarena,14,Record,"2019-05-24 18:57:09"
185,Putaway,2,testgarena,17,Record,"2019-05-24 18:57:16"
186,Putaway,2,testgarena,16,Record,"2019-05-24 18:57:19"
187,Putaway,2,testgarena,jiana.xu,Record,"2019-05-24 18:57:39"
188,Putaway,2,testgarena,123456,Record,"2019-05-24 18:59:36"
189,Putaway,2,testgarena,123458,Record,"2019-05-24 19:00:51"
190,Putaway,2,testgarena,123789,Record,"2019-05-24 19:03:04"
191,Putaway,2,testgarena,123789,End,"2019-05-24 19:03:14"
192,Putaway,1,jiana.xu,,Start,"2019-05-24 19:03:21"
193,Putaway,1,jiana.xu,B01234,Record,"2019-05-24 19:03:37"
194,Putaway,1,jiana.xu,B01234,End,"2019-05-24 19:03:37"
195,,4,Picker01,MY12345,Record,"2019-05-24 19:04:47"
196,,4,Picker01,MY12345,End,"2019-05-24 19:04:48"
197,Picking,1,jiana.xu,,Start,"2019-05-26 22:01:16"
